"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jimmy johns",60642,"Jimmy John's",3.6,1.0,93,"OPERATIONAL","ChIJTYZMDiotDogRvZPaS632PK0","520 N Ogden Ave, Chicago, IL 60642, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60615,"Jimmy John's",3.9,1.0,254,"OPERATIONAL","ChIJQfLSsnIpDogR6lHaoiej76k","1519 E 55th St, Chicago, IL 60615, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60601,"Jimmy John's",3.4,1.0,17,"OPERATIONAL","ChIJObywJqYsDogRSLnesrdy-JA","200 E Randolph St, Chicago, IL 60601, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60606,"Jimmy John's",3.8,1.0,19,"OPERATIONAL","ChIJlbVunLksDogRcd3d65kNSgo","216 W Washington St, Chicago, IL 60606, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60601,"Jimmy John's",3.4,1.0,17,"OPERATIONAL","ChIJObywJqYsDogRSLnesrdy-JA","200 E Randolph St, Chicago, IL 60601, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60606,"Jimmy John's",3.8,1.0,19,"OPERATIONAL","ChIJlbVunLksDogRcd3d65kNSgo","216 W Washington St, Chicago, IL 60606, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60611,"Jimmy John's",3.7,1.0,83,"OPERATIONAL","ChIJiT_roKssDogRHi8Wbr_ii_k","205 E Ohio St, Chicago, IL 60611, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60606,"Jimmy John's",3.8,1.0,19,"OPERATIONAL","ChIJlbVunLksDogRcd3d65kNSgo","216 W Washington St, Chicago, IL 60606, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60614,"Jimmy John's",3.4,1.0,67,"OPERATIONAL","ChIJPZa1CxHTD4gRg2j0u921x60","2231 N Lincoln Ave, Chicago, IL 60614, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60614,"Jimmy John's",3.4,1.0,67,"OPERATIONAL","ChIJPZa1CxHTD4gRg2j0u921x60","2231 N Lincoln Ave, Chicago, IL 60614, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60601,"Jimmy John's",3.4,1.0,17,"OPERATIONAL","ChIJObywJqYsDogRSLnesrdy-JA","200 E Randolph St, Chicago, IL 60601, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60602,"Jimmy John's",3.2,1.0,27,"OPERATIONAL","ChIJeZBoq7ssDogRChAcQSB-N1o","28 N Clark St, Chicago, IL 60602, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
